school,state,weirdreason
Clemson University,SC,
Coastal Carolina University (Coastal Carolina or CCU),SC,
College of Charleston (Charleston or CofC),SC,
Francis Marion University,SC,
Lander University,SC,
Medical University of South Carolina,SC,
"University of South Carolina (Carolina, USC, or SCar) (Columbia - flagship/main campus)",SC,
University of South Carolina Aiken (USC-Aiken),SC,
University of South Carolina Beaufort (USC-Beaufort),SC,
University of South Carolina Lancaster (USC-Lancaster),SC,
University of South Carolina Salkehatchie (USC-Salkehatchie),SC,
University of South Carolina Sumter (USC-Sumter),SC,
University of South Carolina Union (USC-Union),SC,
University of South Carolina Upstate (USC-Upstate or Upstate),SC,
South Carolina State University (SCSU),SC,
Winthrop University (WU),SC,
Black Hills State University,SD,
Dakota State University,SD,
Northern State University,SD,
University of South Dakota (South Dakota or USD),SD,
"South Dakota School of Mines & Technology (South Dakota School of Mines, South Dakota Tech, or SDSM&T)",SD,
South Dakota State University (South Dakota State),SD,
University of Memphis (U of M) (Memphis - flagship/main campus),TN,
Austin Peay State University (Austin Peay or APSU),TN,
East Tennessee State University (ETSU),TN,
Middle Tennessee State University (MTSU),TN,
Tennessee State University (TSU),TN,
Tennessee Technological University (Tennessee Tech or TTU),TN,
"University of Tennessee at Knoxville (UT Knoxville, UTK, or UT)",TN,
University of Tennessee at Chattanooga (UT Chattanooga or UTC),TN,
University of Tennessee at Martin (UT Martin),TN,
University of Tennessee Health Science Center (UTHSC or UT Medical School) (Memphis),TN,
University of Tennessee Space Institute (UT Space Institute) (Tullahoma),TN,
University of Houston,TX,
University of Houston–Clear Lake,TX,
University of Houston–Downtown,TX,
University of Houston–Victoria,TX,
Midwestern State University,TX,
University of North Texas,TX,
University of North Texas at Dallas,TX,
Stephen F. Austin State University,TX,
The University of Texas System,TX,
The University of Texas (Austin - flagship/main campus),TX,
The University of Texas at Arlington,TX,
The University of Texas at Dallas,TX,
The University of Texas at El Paso,TX,
The University of Texas of the Permian Basin,TX,
The University of Texas Rio Grande Valley,TX,
The University of Texas at San Antonio,TX,
The University of Texas at Tyler,TX,
University of Texas MD Anderson Cancer Center,TX,
University of Texas Medical Branch,TX,
University of Texas Southwestern Medical Center,TX,
