opaque,nProf_econ,tot_enroll
0,7,"18,440"
0,5,"11,754"
1,6,"6,167"
1,15,"34,254"
1,0,2384
0,10,"12,798"
1,11,11468
0,19,18865
0,8,20130
0,13,22599
1,2,6267
1,0,"1,289"
1,0,"84,801"
1,0,"1,457"
0,12,"27,222"
1,0,"3,324"
0,7,"26,000"
0,6,"5,108"
1,9,"20,022"
1,0,"1,617"
1,5,"3,614"
1,8,"15,000"
0,17,"23,039"
1,0,"1,310"
0,20,"19,076"
1,0,"3,334"
