First Names,Last Names
myrtice,nunez
tessie,ballard
dessie,schwartz
iola,mcbride
lilly,houston
linnie,christensen
louella,klein
mandy,pratt
marion,briggs
myrtis,parsons
nona,mclaughlin
odessa,zimmerman
olive,french
pinkie,buchanan
polly,moran
queen,copeland
rubye,roy
savannah,pittman
willa,brady
bama,mccormick
clarice,holloway
delia,brock
dovie,poole
ellie,frank
evie,logan
ira,owen
lelia,bass
luella,marsh
lyda,drake
magnolia,wong
mozell,jefferson
myrtie,park
nannie,morton
olivia,abbott
oma,sparks
ossie,patrick
vada,norton
virgie,huff
abbie,clayton
cassie,massey
clyde,lloyd
elma,figueroa
elva,carson
ernestine,bowers
gertie,roberson
hannah,barton
lettie,tran
ocie,lamb
patsy,harrington
queenie,casey
rubie,boone
adele,cortez
alpha,clarke
arrie,mathis
belle,singleton
charity,wilkins
charlie,cain
ester,bryan
frankie,underwood
goldie,hogan
hilda,mckenzie
icie,collier
idell,luna
lenora,phelps
letha,mcguire
lily,allison
lorena,bridges
ludie,wilkerson
lura,nash
madge,summers
maud,atkins
odell,wilcox
reba,pitts
sybil,conley
trudie,marquez
una,burnett
zelma,richard
aline,cochran
allene,chase
artie,davenport
bennie,hood
camilla,gates
ceola,clay
corinne,ayala
dixie,sawyer
easter,roman
florine,vazquez
francis,dickerson
gennie,hodge
georgie,acosta
glennie,flynn
isabella,espinoza
isabelle,nicholson
lassie,monroe
liza,wolf
louisa,morrow
lue,kirk
macie,randall
madie,anthony
mammie,whitaker
melba,oconnor
minerva,skinner
osie,ware
pearline,molina
ruthie,kirby
vergie,huffman
vida,bradford
vinnie,charles
zadie,gilmore
zora,dominguez
berta,oneal
blanch,bruce
cecil,lang
charlsie,combs
clemmie,kramer
corene,heath
donnie,hancock
elvira,gallagher
exie,gaines
faye,shaffer
floy,short
genevieve,wiggins
hettie,mathews
iona,mcclain
ivey,fischer
johnie,wall
jonnie,small
lera,melton
lovie,hensley
maurine,bond
mazie,dyer
nan,cameron
nola,grimes
odie,contreras
pearly,christian
prince,wyatt
robbie,baxter
tressie,snow
vernie,mosley
audie,shepherd
celia,larsen
bobbie,hoover
corrine,beasley
eugenia,glenn
ethelyn,petersen
iris,whitehead
mayme,meyers
bulah,keith
kattie,garrison
lennie,vincent
mariah,shields
miriam,horn
aileen,savage
alta,olsen
arline,schroeder
adelaide,hartman
adella,woodard
amie,mueller
anniemae,kemp
bell,deleon
gertha,booth
izola,patel
james,calhoun
leatha,wiley
liddie,eaton
louie,cline
love,navarro
luvenia,harrell
malinda,lester
novella,humphrey
rilla,parrish
rochelle,duran
veola,hutchinson
verla,hess
williemae,dorsey
zola,bullock
avis,robles
dannie,beard
lona,dalton
lonie,avila
claire,vance
isabell,rich
jeannette,blackwell
madeline,york
paralee,johns
cecile,blankenship
erie,trevino
idella,salinas
joe,campos
lilie,pruitt
ozell,moses
rosalee,callahan
versie,golden
edwina,montoya
exa,hardin
fay,guerra
florene,mcdowell
fronie,carey
hortense,stafford
jettie,gallegos
lonnie,henson
loraine,wilkinson
lorine,booker
mavis,merritt
ressie,miranda
rossie,atkinson
zula,orr
alene,decker
angeline,hobbs
burma,preston
chloe,tanner
classie,knox
claudine,pacheco
corrie,stephenson
dorthy,glass
elmira,rojas
ima,serrano
john,marks
juliette,hickman
lilla,english
maybelle,sweeney
merle,strong
missouri,prince
muriel,mcclure
nadine,conway
octavia,walter
omie,roth
robert,maynard
sudie,farrell
valeria,lowery
vallie,hurst
vassie,nixon
vicie,weiss
zeola,trujillo
buna,ellison
creola,sloan
mallie,juarez
nelle,winters
erin,mclean
isabel,randolph
ivy,leon
sammie,boyer
adeline,villarreal
adelle,mccall
ava,gentry
dorsey,carrillo
elisabeth,kent
henretta,ayers
imogene,lara
mellie,shannon
oleta,sexton
selma,pace
vennie,hull
verda,leblanc
vernice,browning
virgia,velasquez
annice,leach
earlean,chang
freda,house
george,sellers
harriette,herring
ione,noble
irean,foley
louvenia,bartlett
pansy,mercado
sophia,landry
tempie,durham
verdie,walls
verlie,barr
versa,mckee
voncile,bauer
winifred,rivers
earnestine,everett
lurline,bradshaw
olean,pugh
annabelle,velez
earlene,rush
elvie,estes
erlene,dodson
katheryn,morse
cumi,sheppard
euna,weeks
freddie,camacho
inell,bean
laverne,barron
luciel,livingston
luna,middleton
margarette,spears
marietta,branch
vesta,blevins
alva,chen
avie,kerr
charles,mcconnell
