Value,Month,Factor
-151.88,1,Gas
-132.56,2,Gas
-142.45,3,Gas
-170.63,4,Gas
-124.8,5,Gas
-163.25,6,Gas
-148.12,7,Gas
-126.97,8,Gas
-58.36,9,Gas
