Date1,Approval,Date2,Hillary,BaseLineDate,Date1Diff,Date2Diff,approval_avg,hillary_avg
2-Jul,51,1-Aug,10,1/1/2016,183,262,51,4.5
2-Jul,45,5-Aug,6,1/1/2016,183,264,49,0
5-Jul,51,6-Aug,4,1/1/2016,186,265,49.5,3.5
7-Jul,47,6-Aug,6,1/1/2016,188,266,,-5
8-Jul,53,6-Aug,7,1/1/2016,189,267,,-5
9-Jul,51,8-Aug,9,1/1/2016,190,270,50,4.5
9-Jul,46,13-Aug,5,1/1/2016,190,,,
11-Jul,52,14-Aug,6,1/1/2016,192,,,
14-Jul,49,14-Aug,-2,1/1/2016,195,,,
15-Jul,45,15-Aug,8,1/1/2016,196,,,
16-Jul,44,15-Aug,8,1/1/2016,197,,,
22-Jul,50,18-Aug,10,1/1/2016,203,,,
23-Jul,48,19-Aug,3,1/1/2016,204,,,
25-Jul,45,20-Aug,7,1/1/2016,206,,,
29-Jul,52,22-Aug,6,1/1/2016,210,,,
29-Jul,54,22-Aug,0,1/1/2016,210,,,
29-Jul,50,24-Aug,7,1/1/2016,210,,,
30-Jul,48,25-Aug,1,1/1/2016,211,,,
30-Jul,48,25-Aug,7,1/1/2016,211,,,
31-Jul,52,26-Aug,1,1/1/2016,212,,,
31-Jul,52,26-Aug,5,1/1/2016,212,,,
1-Aug,53,27-Aug,5,1/1/2016,213,,,
1-Aug,53,28-Aug,6,1/1/2016,213,,,
4-Aug,56,29-Aug,6,1/1/2016,216,,,
5-Aug,50,1-Sep,2,1/1/2016,217,,,
6-Aug,50,1-Sep,-1,1/1/2016,218,,,
6-Aug,49,4-Sep,2,1/1/2016,218,,,
9-Aug,53,5-Sep,0,1/1/2016,221,,,
13-Aug,46,5-Sep,4,1/1/2016,225,,,
14-Aug,49,5-Sep,8,1/1/2016,226,,,
18-Aug,54,8-Sep,5,1/1/2016,230,,,
19-Aug,47,8-Sep,1,1/1/2016,231,,,
20-Aug,44,9-Sep,2,1/1/2016,232,,,
24-Aug,50,10-Sep,2,1/1/2016,236,,,
25-Aug,47,11-Sep,-1,1/1/2016,237,,,
26-Aug,50,12-Sep,5,1/1/2016,238,,,
26-Aug,50,15-Sep,0,1/1/2016,238,,,
27-Aug,48,15-Sep,7,1/1/2016,239,,,
28-Aug,51,15-Sep,6,1/1/2016,240,,,
28-Aug,54,16-Sep,7,1/1/2016,240,,,
1-Sep,47,18-Sep,1,1/1/2016,244,,,
1-Sep,51,19-Sep,7,1/1/2016,244,,,
4-Sep,50,19-Sep,2,1/1/2016,247,,,
5-Sep,55,21-Sep,0,1/1/2016,248,,,
8-Sep,50,22-Sep,6,1/1/2016,251,,,
8-Sep,48,22-Sep,1,1/1/2016,251,,,
10-Sep,48,22-Sep,3,1/1/2016,253,,,
11-Sep,50,22-Sep,4,1/1/2016,254,,,
15-Sep,51,23-Sep,-5,1/1/2016,258,,,
15-Sep,47,24-Sep,-5,1/1/2016,258,,,
15-Sep,50,27-Sep,5,1/1/2016,258,,,
16-Sep,52,27-Sep,4,1/1/2016,259,,,
18-Sep,47,,,1/1/2016,261,,,
19-Sep,51,,,1/1/2016,262,,,
21-Sep,49,,,1/1/2016,264,,,
22-Sep,46,,,1/1/2016,265,,,
22-Sep,53,,,1/1/2016,265,,,
22-Sep,50,,,1/1/2016,265,,,
27-Sep,52,,,1/1/2016,270,,,
27-Sep,50,,,1/1/2016,270,,,
27-Sep,48,,,1/1/2016,270,,,
28-Sep,53,,,1/1/2016,271,,,
