RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACCESS,ACR,AGS,BATH,BDSP,BLD,BROADBND,BUS,COMPOTHX,CONP,DIALUP,DSL,ELEP,FIBEROP,FS,FULP,GASP,HANDHELD,HFL,INSP,LAPTOP,MHP,MODEM,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMP,STOV,TEL,TEN,TOIL,VACS,VALP,VEH,WATP,YBL,FES,FFINCP,FGRNTP,FHINCP,FINCP,FPARC,FPLMPRP,FSMOCP,GRNTP,GRPIP,HHL,HHT,HINCP,HOTWAT,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PLMPRP,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SSMC,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FBUSP,FCOMPOTHXP,FCONP,FDIALUPP,FDSLP,FELEP,FFIBEROPP,FFSP,FFULP,FGASP,FHANDHELDP,FHFLP,FHOTWATP,FINSP,FKITP,FLAPTOPP,FMHP,FMODEMP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,wgtp1,wgtp2,wgtp3,wgtp4,wgtp5,wgtp6,wgtp7,wgtp8,wgtp9,wgtp10,wgtp11,wgtp12,wgtp13,wgtp14,wgtp15,wgtp16,wgtp17,wgtp18,wgtp19,wgtp20,wgtp21,wgtp22,wgtp23,wgtp24,wgtp25,wgtp26,wgtp27,wgtp28,wgtp29,wgtp30,wgtp31,wgtp32,wgtp33,wgtp34,wgtp35,wgtp36,wgtp37,wgtp38,wgtp39,wgtp40,wgtp41,wgtp42,wgtp43,wgtp44,wgtp45,wgtp46,wgtp47,wgtp48,wgtp49,wgtp50,wgtp51,wgtp52,wgtp53,wgtp54,wgtp55,wgtp56,wgtp57,wgtp58,wgtp59,wgtp60,wgtp61,wgtp62,wgtp63,wgtp64,wgtp65,wgtp66,wgtp67,wgtp68,wgtp69,wgtp70,wgtp71,wgtp72,wgtp73,wgtp74,wgtp75,wgtp76,wgtp77,wgtp78,wgtp79,wgtp80
H,179782,2,4101,1,36,1000000,1001264,164,1,1,2,,,1,1,5,,,2,0,,,150,,2,2,2,2,1,1500,1,,,2,2100,2,1,,1,4,,,1,9,,1,,1,1,1,1,,850000,0,2000,3,,0,,0,,,0,0,,,3,6,29000,9,0,4,4,4,1,2,1,7,0,,0,0,0,101,0,1,9,0,0,1,1,2,2917,3,0,0,0,57,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,172,46,46,175,164,161,45,254,45,134,267,285,285,185,49,271,162,169,162,151,141,284,296,165,179,172,270,50,285,165,46,51,46,167,294,46,189,159,172,174,171,48,45,167,162,169,48,275,42,158,265,284,281,169,48,240,168,180,151,147,156,296,283,160,155,170,277,50,295,183,52,48,46,155,257,49,188,162,167
H,196259,2,3801,1,36,1000000,1001264,0,1,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,213144,2,3305,1,36,1000000,1001264,71,0,1,,1,,1,4,2,,2,,,,,,,,,,,,,,,,,,,,,1,8,,,1,9,,1,,1,,,1,5,,,,3,,0,0,0,,,0,0,,,,,,9,,,,,1,,,,,,,,,,,1,9,,,,,2,,,0,,0,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,70,21,66,22,75,73,67,116,79,111,68,72,115,71,21,112,120,20,119,68,72,117,71,125,65,74,72,22,73,21,74,67,20,67,118,20,21,126,20,70,66,20,71,20,67,75,69,114,71,128,68,67,124,76,18,113,117,21,118,73,76,117,68,118,69,69,74,20,66,20,74,67,21,78,115,20,22,121,20
H,229922,2,3107,1,36,1000000,1001264,109,0,1,,,,1,2,5,,,,,,,,,,,,,,,,,,,,,,,1,4,,,1,9,,1,,1,,,1,7,,,,1,,0,0,0,,,0,0,,,,,,9,,,,,1,,,,,,,,,,,1,9,,,,,2,,,0,,0,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,205,31,105,184,184,167,103,32,178,115,111,111,118,31,37,118,115,115,34,111,104,100,179,114,107,109,30,111,126,198,28,193,203,123,104,28,36,175,116,182,36,182,119,34,35,31,116,188,32,107,118,97,109,180,180,110,106,110,188,109,123,106,29,112,111,112,203,110,112,35,180,33,30,103,112,174,190,31,104
H,246006,2,2100,1,36,1000000,1001264,22,3,1,1,2,1,1,4,2,1,1,2,0,2,2,60,2,2,1800,20,1,6,0,1,,1,2,2000,1,1,2,1,7,,,1,9,2,1,,1,1,1,1,,200000,5,2,3,1,0,,0,185200,4,0,0,,,1,1,185200,9,0,4,4,4,1,1,1,6,0,3,0,0,0,14,0,1,9,0,0,1,1,3,2230,3,0,0,0,52,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,43,7,38,25,25,9,5,6,19,27,43,7,22,39,22,23,27,23,8,25,19,25,24,37,7,25,24,27,50,7,21,23,38,24,36,41,8,6,26,39,36,7,48,21,23,7,9,8,25,23,42,5,20,38,25,22,24,27,9,23,20,24,28,40,8,23,18,25,46,7,24,24,33,26,34,48,7,4,23
H,263041,2,3709,1,36,1000000,1001264,433,4,1,3,,,1,1,9,,,2,,,,60,,1,2,2,1,4,,2,,,,,,,,1,3,2,920,1,9,,1,,1,1,3,1,,,1,2,5,1,1,0,1,41700,3,0,,980,28,2,1,41700,9,0,3,3,3,1,2,1,5,2,4,0,0,2,,0,1,9,0,1,0,0,2,,,1,0,0,,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,410,579,445,479,138,601,134,148,495,389,577,900,148,334,489,522,140,457,494,419,113,399,716,133,383,387,610,469,747,724,416,443,476,568,137,734,390,156,164,663,352,744,413,477,122,717,130,111,414,399,739,785,121,444,381,490,126,536,672,380,144,428,662,145,520,435,426,354,557,801,518,417,417,732,134,786,430,153,149,567
H,278311,2,1600,1,36,1000000,1001264,188,2,1,1,1,,1,3,2,2,2,2,,2,2,80,2,2,1400,3,1,4,,1,,1,,,,,2,1,7,2,1100,1,9,2,1,,1,1,3,1,,,2,1,4,3,1,1,1,63500,4,0,,1297,25,1,1,63500,9,0,4,4,4,1,1,1,5,0,2,0,0,0,,0,1,9,0,0,0,0,3,,,1,0,0,,1,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,173,66,286,183,281,242,72,162,64,262,225,55,55,198,159,184,168,209,247,252,202,77,369,207,308,162,48,189,65,330,208,63,72,168,194,186,179,211,286,382,223,44,256,185,229,140,90,186,57,226,210,69,54,168,239,219,197,200,313,314,200,50,266,214,288,184,76,253,64,223,188,69,83,229,171,128,179,207,319
H,294457,2,2802,1,36,1000000,1001264,111,1,1,1,1,,1,2,1,1,2,2,0,2,1,80,2,2,2,100,1,8,520,1,7200,1,,,,3,2,1,6,,,1,9,2,1,,1,1,2,1,,55000,1,120,6,,0,,0,,,0,0,,,1,6,34000,9,0,4,4,4,1,1,1,4,0,,0,0,0,29,0,1,9,0,0,1,0,3,833,,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,112,199,192,34,31,103,97,115,117,199,31,125,110,98,200,31,116,118,34,203,115,177,197,36,35,125,113,119,97,178,33,103,101,121,172,35,105,111,40,166,101,181,212,36,35,113,116,105,104,177,34,111,112,106,164,33,109,108,33,196,96,185,197,29,33,107,119,121,103,205,33,100,103,113,209,35,114,116,27
H,310874,2,4008,1,36,1000000,1001264,82,1,1,3,,,1,2,9,,,2,,,,1,,1,2,1,2,1,,2,,,,,,,,1,4,2,320,1,9,,1,,1,2,3,1,,,0,2,7,,0,0,0,,,0,,320,44,2,6,8800,9,0,4,4,4,1,1,1,6,0,,0,0,0,,0,1,9,0,0,1,1,2,,,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,91,73,28,31,26,88,118,87,24,67,76,25,74,148,135,157,97,79,116,90,81,76,27,29,26,96,153,78,27,84,68,27,81,139,120,130,95,77,25,89,79,87,128,151,139,79,26,88,121,78,86,130,79,27,23,24,77,81,21,92,83,83,148,120,149,86,26,79,155,88,90,138,82,22,27,27,70,91,149
H,327743,2,3205,1,36,1000000,1001264,25,3,1,1,1,,1,3,2,1,2,2,0,2,2,120,2,2,3100,30,1,4,1200,2,,2,1,1700,1,1,2,1,6,,,1,9,2,1,,1,1,1,1,,450000,0,170,3,2,1,,1,166001,1,0,1,,,1,1,166001,9,0,1,1,1,1,1,1,7,1,3,0,0,1,15,0,1,9,0,1,0,0,3,2122,3,0,0,1,68,1,7,3,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,48,18,8,49,29,44,30,8,26,7,31,27,9,6,24,17,27,27,24,52,36,29,7,33,19,39,23,7,22,8,51,20,6,10,22,36,27,20,25,11,6,32,43,8,20,5,25,38,20,57,10,27,35,55,27,29,22,17,25,5,7,23,58,9,28,8,25,39,21,38,6,25,52,35,27,20,23,32,22,32
H,343461,2,403,1,36,1000000,1001264,110,2,1,1,2,1,1,5,2,1,2,2,0,2,2,380,2,2,2,3,1,4,1800,1,,1,2,650,2,1,2,1,10,,,1,9,2,1,,1,1,1,1,,225000,3,2,5,1,0,,0,106000,4,0,0,,,1,1,106000,9,0,4,4,4,1,1,1,7,0,2,0,0,0,21,0,1,9,0,0,2,1,3,1880,3,0,0,1,66,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,171,107,99,130,105,97,43,32,46,103,166,121,28,106,110,37,106,144,222,219,206,112,101,94,108,103,29,31,32,113,198,117,28,105,127,34,100,191,26,35,35,110,125,112,96,122,190,172,179,96,29,107,189,114,100,224,108,31,31,39,32,98,121,114,103,113,167,163,150,107,39,110,188,126,118,169,116,39,181
H,360264,2,3003,1,36,1000000,1001264,0,1,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,375699,2,2002,1,36,1000000,1001264,0,1,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,392656,2,3312,1,36,1000000,1001264,74,1,1,1,1,,1,3,3,2,2,2,360,2,2,160,2,2,2,200,1,1,1100,1,,1,,,,3,2,1,5,,,1,9,1,1,,1,1,2,1,,450000,1,1,7,,0,,1,,,0,1,,,1,6,27600,9,0,4,4,4,1,1,1,6,0,,0,0,0,68,0,1,9,0,0,1,1,1,1562,,0,0,1,67,,,,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72,54,24,75,18,89,25,22,24,19,78,70,19,23,68,21,27,78,72,124,117,124,76,117,71,120,88,76,70,70,108,170,86,72,114,70,76,119,132,81,77,97,105,64,148,68,123,126,131,130,73,71,124,116,70,136,115,65,75,18,24,23,71,24,72,23,68,88,69,79,23,18,66,82,25,64,72,22,20,74
H,408486,2,500,1,36,1000000,1001264,84,1,1,1,,,1,1,4,1,,1,,2,2,1,2,1,2,2,1,1,,1,,1,,,,,2,1,3,2,680,1,9,2,1,,1,1,3,1,,,1,1,1,,0,1,1,,,0,,680,12,1,6,70130,9,0,4,4,4,1,1,1,4,0,,0,0,0,,0,1,9,0,0,0,0,2,,,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,129,79,128,25,84,83,90,24,83,138,91,23,28,93,77,20,151,99,123,120,29,94,32,134,82,86,81,154,69,27,89,152,143,74,65,133,19,90,30,93,28,74,20,148,85,77,85,154,78,25,77,127,147,88,84,131,26,91,23,97,131,111,161,21,74,91,82,23,76,136,99,25,26,87,80,29,130,89,140,84
H,424340,2,2600,1,36,1000000,1001264,0,1,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,440390,2,702,1,36,1000000,1001264,71,2,1,1,1,,1,3,2,2,2,2,0,2,2,150,2,2,2,2,1,1,1800,2,,1,1,1200,1,1,2,1,5,,,1,9,2,1,,1,1,1,1,,160000,4,50,4,1,1,,1,91000,4,0,1,,,1,1,91000,9,0,4,4,4,1,1,1,1,0,2,0,0,0,18,0,1,9,0,0,0,0,3,1354,3,0,0,1,62,2,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,19,21,79,123,88,24,69,59,22,62,110,104,120,65,73,65,67,81,22,25,123,118,66,21,75,113,76,78,104,72,22,19,25,69,73,78,100,74,106,132,20,21,77,157,74,20,75,68,23,67,117,111,123,72,80,77,62,70,21,25,136,137,61,18,71,123,79,68,139,69,22,16,22,67,66,70,76,81,128,128
H,457142,2,904,1,36,1000000,1001264,60,2,1,1,1,,1,3,2,2,2,2,0,2,2,280,2,2,2,2,1,1,600,1,,1,,,,3,2,1,8,,,1,9,2,1,,1,1,2,1,,120000,2,200,5,4,0,,0,33600,4,0,0,,,1,1,33600,9,0,4,4,4,1,1,1,7,0,2,0,0,0,24,0,1,9,0,0,2,2,3,680,,0,0,1,52,0,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,94,110,61,58,56,109,16,97,56,16,17,18,58,95,17,65,59,67,58,58,100,110,56,66,61,100,19,108,63,18,18,19,58,100,18,65,60,55,69,52,17,18,56,54,58,19,105,16,60,108,102,90,64,18,95,61,61,62,60,72,18,17,60,58,60,17,105,18,54,112,106,112,55,20,104,55,67,58,52
H,473665,2,1600,1,36,1000000,1001264,85,3,1,1,1,,1,4,2,1,2,2,0,2,2,170,2,2,2,2,2,1,300,1,,2,2,400,2,1,2,1,9,,,1,9,2,1,,1,1,1,1,,80000,2,300,1,1,1,,1,97200,4,0,1,,,1,1,97200,9,0,4,4,4,1,1,1,5,0,3,0,0,0,10,0,1,9,0,0,1,1,3,803,3,0,0,1,34,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,89,170,86,30,108,76,26,83,135,135,126,85,74,69,82,67,30,32,27,154,73,159,73,25,85,81,29,91,174,129,125,86,81,78,67,72,25,37,26,143,88,154,90,26,86,80,27,88,172,122,126,82,81,86,77,66,29,27,26,90,83,161,74,26,103,95,36,89,114,118,105,86,83,83,79,74,33,30,29,143
H,491175,2,3903,1,36,1000000,1001264,111,3,1,1,,,1,2,9,2,,2,,2,2,1,2,1,1,1,1,2,,1,,1,,,,,2,1,5,2,1100,1,9,2,1,,1,1,3,1,,,2,1,5,7,0,0,0,32100,4,0,,1100,31,2,3,42900,9,0,4,4,4,1,1,1,6,0,2,0,1,0,,4,1,9,0,0,0,0,1,,,1,0,0,,2,14,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,197,98,106,33,112,126,119,123,35,115,101,163,193,36,38,173,89,31,145,27,34,114,146,160,95,141,104,100,176,120,95,30,48,178,193,36,111,226,133,29,38,130,121,176,104,107,105,98,174,121,116,34,36,185,211,38,94,195,143,200,197,93,91,40,123,106,119,123,29,130,104,156,167,35,35,186,100,28,135
H,506503,2,3001,1,36,1000000,1001264,169,3,1,1,,,1,3,4,2,,1,,2,2,200,1,2,2,2,1,1,,1,,2,,,,,2,1,6,2,1000,1,9,2,1,,1,1,3,1,,,2,220,4,7,0,0,0,102000,2,0,,1218,14,1,3,102000,9,0,2,2,2,1,1,1,1,1,3,0,0,1,,0,1,9,0,1,0,0,2,,,1,0,0,,2,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,299,202,174,151,140,311,153,175,43,53,246,289,52,171,282,58,64,172,165,174,73,148,148,187,183,39,112,191,314,319,69,44,230,163,59,315,260,180,179,207,254,154,180,189,206,261,206,151,61,48,289,267,52,181,324,54,44,167,160,148,51,208,178,168,139,43,169,159,245,228,47,54,271,151,53,258,283,185,126
H,522095,2,1500,1,36,1000000,1001264,62,4,1,1,1,,1,3,2,2,2,1,0,2,1,80,2,2,2,100,1,1,600,2,,2,2,450,2,1,2,1,8,,,1,9,2,1,,1,2,1,1,,90000,2,50,3,7,0,,0,34000,2,0,0,,,1,3,84000,9,0,3,3,3,1,1,1,5,2,3,0,1,2,14,4,1,9,0,1,0,0,1,976,3,0,0,1,47,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,93,22,101,70,62,17,17,17,51,66,88,15,65,113,66,61,68,68,20,53,62,68,60,121,20,65,63,51,105,23,77,51,83,54,98,90,15,24,57,104,112,21,83,68,48,16,20,21,48,64,100,20,54,114,65,73,65,63,20,72,53,47,60,89,18,82,68,87,97,18,61,73,124,62,104,88,17,18,53
H,537585,2,2500,1,36,1000000,1001264,0,1,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,553540,2,3310,1,36,1000000,1001264,68,1,1,1,,,1,1,6,2,,2,,2,2,120,2,2,1500,10,2,1,,1,,1,,,,,2,1,3,2,1600,1,9,2,1,,1,1,3,1,,,1,1,12,,0,0,1,,,0,,1855,70,1,6,31600,9,0,4,4,4,1,1,1,1,0,,0,0,0,,0,1,9,0,0,1,1,1,,,1,0,0,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,60,129,65,58,72,16,83,76,123,21,141,103,63,72,21,16,124,71,68,104,21,69,118,118,119,62,21,107,78,69,74,75,20,23,74,62,60,20,60,22,138,69,21,23,21,62,103,19,78,83,82,67,125,109,92,77,62,116,106,69,62,20,67,59,61,104,63,66,19,98,24,20,66,70,117,107,19,71,21
H,570265,2,3308,1,36,1000000,1001264,83,3,1,2,1,,1,3,2,,2,2,0,,,170,,2,2,160,2,1,1700,1,,,,,,3,,1,5,,,1,9,,1,,1,1,2,1,,280000,3,290,4,4,1,,1,58900,4,0,1,,,1,1,58900,9,0,4,4,4,1,1,1,7,0,3,0,0,0,23,0,1,9,0,0,2,2,2,1129,,0,0,1,65,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,97,78,87,24,92,144,86,136,139,32,74,26,86,75,26,87,27,128,140,85,87,72,79,25,73,139,72,143,152,25,81,23,118,82,24,67,25,156,139,90,73,86,82,121,75,21,77,25,26,118,94,133,90,96,140,110,134,26,26,72,96,85,81,149,76,24,80,25,22,148,77,130,85,80,141,86,171,23,25,64
H,586993,2,402,1,36,1000000,1001264,0,1,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,603799,2,704,1,36,1000000,1001264,50,3,1,1,1,,1,4,2,1,2,2,0,1,2,120,2,2,2500,140,1,1,600,1,,2,2,900,2,1,2,1,10,,,1,9,2,1,,1,1,1,1,,90000,4,510,1,5,1,,1,41000,4,0,1,,,1,2,65000,9,0,4,4,4,1,1,1,6,0,2,0,1,0,30,0,1,9,0,0,0,0,1,1619,3,0,0,1,31,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,48,45,47,15,14,106,16,44,49,89,94,90,53,55,14,98,50,15,56,103,15,81,87,58,48,46,49,15,83,50,58,58,16,80,44,42,14,49,14,53,48,51,48,15,15,82,15,56,46,78,83,90,48,48,16,93,46,17,53,93,12,76,86,62,58,62,47,14,79,49,54,59,14,76,55,44,14,56,16,50
H,620421,2,1700,1,36,1000000,1001264,0,1,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,637754,2,3106,1,36,1000000,1001264,71,5,1,1,,,1,2,6,1,,2,,2,2,130,2,2,2,70,1,8,,1,,1,,,,,2,1,4,2,1000,1,9,2,1,,1,1,3,1,,,2,2,1,1,1,0,1,54500,4,0,,1200,26,2,1,54500,9,0,4,4,4,1,1,1,1,0,5,0,0,0,,0,1,9,0,0,0,0,3,,,1,0,0,,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,65,73,65,126,70,114,73,64,105,60,21,123,114,23,63,66,26,74,24,22,78,81,71,111,66,127,87,73,133,77,24,145,118,19,70,77,20,73,21,18,71,74,67,115,61,119,77,69,109,81,21,109,134,20,64,73,18,64,21,24,69,71,86,126,80,116,66,72,121,71,22,122,109,19,106,82,23,75,19
