"Stage Name","Stage Date","Stage Category","General Classification Url","Points Classification Url","Stage Classification Url","Competition Date","Competition Name","Competition Result Page Url","Country","Class Code","getsum"
"Stage 8","13 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 9","14 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 10 - ITT","16 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 11","17 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 12","18 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 13","19 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 14","20 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 15","21 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 16","23 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 17","24 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 18","25 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
"Stage 19","26 May 2017","","","","","05 May-28 May 2017","Giro d'Italia","https://dataride.uci.ch/iframe/CompetitionResults/32964?disciplineId=10","ITA","2.UWT","1"
