7-Apr-13,Trofeo Piva Banca Popolare di Vicenza,/iframe/CompetitionResults/43410?disciplineId=10,ITA,1.2U,1
2-Apr-13,GP Palio del Recioto,/iframe/CompetitionResults/43423?disciplineId=10,ITA,1.2U,1
1-Apr-13,Giro del Belvedere di Villa di Cordignano,/iframe/CompetitionResults/43416?disciplineId=10,ITA,1.2U,1
12-Oct-14,Paris-Tours Espoirs,/iframe/CompetitionResults/43681?disciplineId=10,FRA,1.2U,1
4-Oct-14,Piccolo Giro di Lombardia,/iframe/CompetitionResults/43680?disciplineId=10,ITA,1.2U,1
30-Sep-14,Ruota d'Oro - GP Festa del Perdono,/iframe/CompetitionResults/43664?disciplineId=10,ITA,1.2U,1
1-Jun-14,Paris-Roubaix Espoirs,/iframe/CompetitionResults/43512?disciplineId=10,FRA,1.2U,1
1-Jun-14,Tr. Citt?� di San Vendemiano - GP Industria e Commercio,/iframe/CompetitionResults/45044?disciplineId=10,ITA,1.2U,1
1-May-14,Rund um den Finanzplatz Eschborn-Frankfurt (U23),/iframe/CompetitionResults/45081?disciplineId=10,GER,1.2U,1
25-Apr-14,Gran Premio della Liberazione,/iframe/CompetitionResults/43468?disciplineId=10,ITA,1.2U,1
22-Apr-14,G.P. Palio del Recioto,/iframe/CompetitionResults/43427?disciplineId=10,ITA,1.2U,1
21-Apr-14,Giro del Belvedere,/iframe/CompetitionResults/43418?disciplineId=10,ITA,1.2U,1
19-Apr-14,Li??ge - Bastogne - Li??ge,/iframe/CompetitionResults/44145?disciplineId=10,BEL,1.2U,1
6-Apr-14,"Trofeo PIVA"" Banca Popolare di Vicenza","/iframe/CompetitionResults/43415?disciplineId=10""",ITA,1.2U,1
11-Oct-15,Paris-Tours Espoirs,/iframe/CompetitionResults/36136?disciplineId=10,FRA,1.2U,1
3-Oct-15,Piccolo Giro di Lombardia,/iframe/CompetitionResults/36135?disciplineId=10,ITA,1.2U,1
29-Sep-15,Ruota d'Oro - GP Festa del Perdono,/iframe/CompetitionResults/36133?disciplineId=10,ITA,1.2U,1
16-Aug-15,GP Capodarco - Comunit?� di Capodarco,/iframe/CompetitionResults/35986?disciplineId=10,ITA,1.2U,1
9-Aug-15,Gran Premio Sportivi di Poggiana-Trofeo Bonin Costruzioni-Gran Premio Pasta Zara,/iframe/CompetitionResults/36872?disciplineId=10,ITA,1.2U,1
31-May-15,Paris-Roubaix Espoirs,/iframe/CompetitionResults/36114?disciplineId=10,FRA,1.2U,1
10-May-15,8?� Tr. Citt?� di San Vendemiano - 55?� GP Industria & Commercio,/iframe/CompetitionResults/35773?disciplineId=10,ITA,1.2U,1
25-Apr-15,Gran Premio della Liberazione,/iframe/CompetitionResults/36107?disciplineId=10,ITA,1.2U,1
18-Apr-15,Li??ge - Bastogne - Li??ge,/iframe/CompetitionResults/35833?disciplineId=10,BEL,1.2U,1
6-Apr-15,Giro Belvedere di Villa di Cordignano,/iframe/CompetitionResults/36104?disciplineId=10,ITA,1.2U,1
5-Apr-15,Trofeo PIVA,/iframe/CompetitionResults/36103?disciplineId=10,ITA,1.2U,1
9-Oct-16,Paris-Tours Espoirs,/iframe/CompetitionResults/33346?disciplineId=10,FRA,1.2U,1
2-Oct-16,88?�Piccolo Giro di Lombardia,/iframe/CompetitionResults/33344?disciplineId=10,ITA,1.2U,1
27-Sep-16,Ruota d'Oro - GP Festa del Perdono,/iframe/CompetitionResults/33340?disciplineId=10,ITA,1.2U,1
17-Aug-16,XIX Trofeo Beato Bernardo - Coppa Citta' di Offida,/iframe/CompetitionResults/31881?disciplineId=10,ITA,1.2U,1
