"Stage Name","Stage Date","Stage Category","General Classification Url","Points Classification Url","Stage Classification Url","Competition Date","Competition Name","Competition Result Page Url","Country","Class Code","getsum"
"Final Classification","27 Mar 2011","","https://dataride.uci.ch/iframe/EventResults/132355?competitionId=42870&disciplineId=10","","","21 Mar-27 Mar 2011","Volta Ciclista a Catalunya","https://dataride.uci.ch/iframe/CompetitionResults/42870?disciplineId=10","ESP","2.UWT","1"
"Stage 1","04 May 2011","","https://dataride.uci.ch/iframe/EventResults/131352?competitionId=42707&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/131349?competitionId=42707&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/131353?competitionId=42707&disciplineId=10","04 May-08 May 2011","4 Jours de Dunkerque / Tour du Nord-pas-de-Calais","https://dataride.uci.ch/iframe/CompetitionResults/42707?disciplineId=10","FRA","2.HC","1"
"Stage 2","05 May 2011","","https://dataride.uci.ch/iframe/EventResults/131357?competitionId=42707&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/131354?competitionId=42707&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/131358?competitionId=42707&disciplineId=10","04 May-08 May 2011","4 Jours de Dunkerque / Tour du Nord-pas-de-Calais","https://dataride.uci.ch/iframe/CompetitionResults/42707?disciplineId=10","FRA","2.HC","1"
"Stage 3","06 May 2011","","https://dataride.uci.ch/iframe/EventResults/131359?competitionId=42707&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/131360?competitionId=42707&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/131363?competitionId=42707&disciplineId=10","04 May-08 May 2011","4 Jours de Dunkerque / Tour du Nord-pas-de-Calais","https://dataride.uci.ch/iframe/CompetitionResults/42707?disciplineId=10","FRA","2.HC","1"
"Stage 4","07 May 2011","","https://dataride.uci.ch/iframe/EventResults/131364?competitionId=42707&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/131365?competitionId=42707&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/131368?competitionId=42707&disciplineId=10","04 May-08 May 2011","4 Jours de Dunkerque / Tour du Nord-pas-de-Calais","https://dataride.uci.ch/iframe/CompetitionResults/42707?disciplineId=10","FRA","2.HC","1"
"Stage 5","08 May 2011","","https://dataride.uci.ch/iframe/EventResults/131372?competitionId=42707&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/131369?competitionId=42707&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/131373?competitionId=42707&disciplineId=10","04 May-08 May 2011","4 Jours de Dunkerque / Tour du Nord-pas-de-Calais","https://dataride.uci.ch/iframe/CompetitionResults/42707?disciplineId=10","FRA","2.HC","1"
"Final Classification","08 May 2011","","https://dataride.uci.ch/iframe/EventResults/131345?competitionId=42707&disciplineId=10","https://dataride.uci.ch/iframe/EventResults/131348?competitionId=42707&disciplineId=10","","04 May-08 May 2011","4 Jours de Dunkerque / Tour du Nord-pas-de-Calais","https://dataride.uci.ch/iframe/CompetitionResults/42707?disciplineId=10","FRA","2.HC","1"
"Final Classification","27 May 2012","","https://dataride.uci.ch/iframe/EventResults/121528?competitionId=43508&disciplineId=10","","","27-May-12","Paris-Roubaix Espoirs","https://dataride.uci.ch/iframe/CompetitionResults/43508?disciplineId=10","FRA","1.2U","1"
"Final Classification","20 Apr 2011","","https://dataride.uci.ch/iframe/EventResults/131694?competitionId=42667&disciplineId=10","","","20-Apr-11","La Flèche Wallonne","https://dataride.uci.ch/iframe/CompetitionResults/42667?disciplineId=10","BEL","1.UWT","1"
"Final Classification","19 Mar 2011","","https://dataride.uci.ch/iframe/EventResults/132414?competitionId=44842&disciplineId=10","","","19-Mar-11","Milano-Sanremo","https://dataride.uci.ch/iframe/CompetitionResults/44842?disciplineId=10","ITA","1.UWT","1"
