date,competition,url,country,class,getsum
13-Apr-11,La Côte Picarde,/iframe/CompetitionResults/43439?disciplineId=10,FRA,1.Ncup,0
13 Apr-17 Apr 2011,Vuelta a Castilla y Leon,/iframe/CompetitionResults/43581?disciplineId=10,ESP,2.1,0
13 Apr-17 Apr 2011,International Tour of Hellas,/iframe/CompetitionResults/45034?disciplineId=10,GRE,2.2,0
12-Apr-11,Paris-Camembert,/iframe/CompetitionResults/42624?disciplineId=10,FRA,1.1,0
10-Apr-11,Paris - Roubaix,/iframe/CompetitionResults/42663?disciplineId=10,FRA,1.UWT,1
10-Apr-11,Giro dell'Appennino,/iframe/CompetitionResults/42760?disciplineId=10,ITA,1.1,0
10-Apr-11,Klasika Primavera de Amorebieta,/iframe/CompetitionResults/43046?disciplineId=10,ESP,1.1,0
10-Apr-11,Paris - Roubaix Juniors,/iframe/CompetitionResults/44435?disciplineId=10,FRA,1.Ncup,0
9-Apr-11,Ronde van Vlaanderen Beloften,/iframe/CompetitionResults/44140?disciplineId=10,BEL,1.Ncup,0
9-Apr-11,Trofeo Edil C,/iframe/CompetitionResults/44226?disciplineId=10,ITA,1.2,0
08 Apr-10 Apr 2011,Circuit des Ardennes International,/iframe/CompetitionResults/44153?disciplineId=10,FRA,2.2,0
7-Apr-11,Grand Prix Pino Cerami,/iframe/CompetitionResults/42654?disciplineId=10,BEL,1.1,0
07 Apr-10 Apr 2011,Energiewacht Tour,/iframe/CompetitionResults/44645?disciplineId=10,NED,2.2,0
7-Apr-11,Les challenges Phosphatiers-Challenge Khouribga,/iframe/CompetitionResults/45339?disciplineId=10,MAR,1.2,0
6-Apr-11,Scheldeprijs,/iframe/CompetitionResults/42855?disciplineId=10,BEL,1.HC,0
06 Apr-09 Apr 2011,Cinturón Ciclista Internacional a Mallorca,/iframe/CompetitionResults/43091?disciplineId=10,ESP,2.2,0
06 Apr-10 Apr 2011,Grand Prix of Sochi,/iframe/CompetitionResults/44381?disciplineId=10,RUS,2.2,0
05 Apr-08 Apr 2011,Circuit Cycliste Sarthe - Pays de la Loire,/iframe/CompetitionResults/43089?disciplineId=10,FRA,2.1,0
04 Apr-09 Apr 2011,Vuelta Ciclista al Pais Vasco,/iframe/CompetitionResults/42642?disciplineId=10,ESP,2.UWT,1
4-Apr-11,Grand Prix de Dottignies,/iframe/CompetitionResults/45112?disciplineId=10,BEL,1.2,0
3-Apr-11,Ronde van Vlaanderen / Tour des Flandres,/iframe/CompetitionResults/42638?disciplineId=10,BEL,1.UWT,1
3-Apr-11,Flèche d'Emeraude - Saint Malo,/iframe/CompetitionResults/42926?disciplineId=10,FRA,1.1,0
3-Apr-11,Trofeo Piva Banca Popolare di Vicenza,/iframe/CompetitionResults/43413?disciplineId=10,ITA,1.2U,1
3-Apr-11,Grand Prix de la Ville de Nogent-sur-Oise,/iframe/CompetitionResults/44199?disciplineId=10,FRA,1.2,0
3-Apr-11,Ronde van Vlaanderen / Tour des Flandres,/iframe/CompetitionResults/44610?disciplineId=10,BEL,CDM,0
2-Apr-11,Hel van het Mergelland,/iframe/CompetitionResults/43428?disciplineId=10,NED,1.1,0
2-Apr-11,Gran Premio Miguel Indurain,/iframe/CompetitionResults/43868?disciplineId=10,ESP,1.HC,0
1-Apr-11,Route Adélie de Vitré,/iframe/CompetitionResults/42935?disciplineId=10,FRA,1.1,0
01 Apr-03 Apr 2011,Le Triptyque des Monts et Châteaux,/iframe/CompetitionResults/43876?disciplineId=10,BEL,2.2,0
01 Apr-06 Apr 2011,Princess Maha Chakri Sirindhorn's Cup Tour of Thailand,/iframe/CompetitionResults/44132?disciplineId=10,THA,2.2,0
29 Mar-31 Mar 2011,KBC-Driedaagse De Panne-Koksijde,/iframe/CompetitionResults/42611?disciplineId=10,BEL,2.HC,1
27-Mar-11,Gent - Wevelgem,/iframe/CompetitionResults/42651?disciplineId=10,BEL,1.UWT,1
27-Mar-11,Trofeo Alfredo Binda - Comune di Cittiglio,/iframe/CompetitionResults/44818?disciplineId=10,ITA,CDM,0
26-Mar-11,E3 Prijs Vlaanderen - Harelbeke,/iframe/CompetitionResults/42592?disciplineId=10,BEL,1.HC,0
26 Mar-27 Mar 2011,Critérium International,/iframe/CompetitionResults/42600?disciplineId=10,FRA,2.HC,1
25 Mar-03 Apr 2011,Tour du Maroc,/iframe/CompetitionResults/43117?disciplineId=10,MAR,2.2,0
25 Mar-27 Mar 2011,GP Credito Agricola da Costa Azul,/iframe/CompetitionResults/44886?disciplineId=10,POR,2.2,0
23-Mar-11,Dwars door Vlaanderen / A travers la Flandre,/iframe/CompetitionResults/42591?disciplineId=10,BEL,1.1,0
22 Mar-26 Mar 2011,Settimana Internazionale Coppi e Bartali,/iframe/CompetitionResults/42572?disciplineId=10,ITA,2.1,0
21 Mar-27 Mar 2011,Volta Ciclista a Catalunya,/iframe/CompetitionResults/42870?disciplineId=10,ESP,2.UWT,1
21 Mar-27 Mar 2011,Tour de Normandie,/iframe/CompetitionResults/43081?disciplineId=10,FRA,2.2,0
20-Mar-11,Cholet - Pays De Loire,/iframe/CompetitionResults/42923?disciplineId=10,FRA,1.1,0
20-Mar-11,Gran Premio San Giuseppe,/iframe/CompetitionResults/43750?disciplineId=10,ITA,1.2,0
20-Mar-11,La Roue Tourangelle Région Centre - Classic Loire Touraine Vignobles & Chateaux,/iframe/CompetitionResults/44272?disciplineId=10,FRA,1.2,0
20-Mar-11,Bernaudeau Junior,/iframe/CompetitionResults/44493?disciplineId=10,FRA,1.1,0
20-Mar-11,Trofeo Costa Etrusca III,/iframe/CompetitionResults/44975?disciplineId=10,ITA,1.2,0
20-Mar-11,Cholet Pays de Loire Dames,/iframe/CompetitionResults/45482?disciplineId=10,FRA,1.2,0
19-Mar-11,Classic Loire Atlantique,/iframe/CompetitionResults/44240?disciplineId=10,FRA,1.1,0
19-Mar-11,Milano-Sanremo,/iframe/CompetitionResults/44842?disciplineId=10,ITA,1.UWT,1
19 Mar-28 Mar 2011,Tour de Taiwan,/iframe/CompetitionResults/44852?disciplineId=10,TPE,2.2,0
18-Mar-11,Handzame Classic,/iframe/CompetitionResults/45531?disciplineId=10,BEL,1.1,0
17 Mar-20 Mar 2011,Istarsko proljece - Istrian Spring Trophy,/iframe/CompetitionResults/44173?disciplineId=10,CRO,2.2,0
16-Mar-11,Nokere-Koerse,/iframe/CompetitionResults/44014?disciplineId=10,BEL,1.1,0
15 Mar-19 Mar 2011,Giro do Interior de Sao Paulo,/iframe/CompetitionResults/45357?disciplineId=10,BRA,2.2,0
13-Mar-11,Trofeo Franco Balestra Memorial Metelli,/iframe/CompetitionResults/43384?disciplineId=10,ITA,1.2,0
13-Mar-11,Paris-Troyes,/iframe/CompetitionResults/43390?disciplineId=10,FRA,1.2,0
13-Mar-11,Kattekoers (Deinze-Ieper),/iframe/CompetitionResults/43406?disciplineId=10,BEL,1.2,0
13-Mar-11,Omloop van het Waasland,/iframe/CompetitionResults/44105?disciplineId=10,BEL,1.2,0
13-Mar-11,Porec Trophy - Trofej Porec,/iframe/CompetitionResults/44184?disciplineId=10,CRO,1.2,0
13-Mar-11,Rabobank Dorpenomloop Rucphen,/iframe/CompetitionResults/45494?disciplineId=10,NED,1.2,0
09 Mar-15 Mar 2011,Tirreno-Adriatico,/iframe/CompetitionResults/45058?disciplineId=10,ITA,2.UWT,1
08 Mar-13 Mar 2011,Rutas de America,/iframe/CompetitionResults/43377?disciplineId=10,URU,2.2,0
08 Mar-13 Mar 2011,Jelajah Malaysia,/iframe/CompetitionResults/43831?disciplineId=10,MAS,2.2,0
6-Mar-11,Trofeo Zssdi - Unione dei Circoli sportivi,/iframe/CompetitionResults/43386?disciplineId=10,ITA,1.2,0
6-Mar-11,Grand Prix de la Ville de Lillers Souvenir Bruno Comini,/iframe/CompetitionResults/43404?disciplineId=10,FRA,1.2,0
06 Mar-13 Mar 2011,Paris - Nice,/iframe/CompetitionResults/44724?disciplineId=10,FRA,2.UWT,1
6-Mar-11,Omloop van het Hageland - Tielt-Winge,/iframe/CompetitionResults/45551?disciplineId=10,BEL,1.2,0
5-Mar-11,De Vlaamse Pijl,/iframe/CompetitionResults/44675?disciplineId=10,BEL,1.2,0
5-Mar-11,Strade Bianche,/iframe/CompetitionResults/45066?disciplineId=10,ITA,1.1,0
04 Mar-06 Mar 2011,Vuelta Ciclista a la Region de Murcia,/iframe/CompetitionResults/42983?disciplineId=10,ESP,2.1,0
04 Mar-06 Mar 2011,Driedaagse van West-Vlaanderen,/iframe/CompetitionResults/44019?disciplineId=10,BEL,2.1,0
3-Mar-11,Giro del Friuli,/iframe/CompetitionResults/42789?disciplineId=10,ITA,1.1,0
2-Mar-11,Le Samyn,/iframe/CompetitionResults/44097?disciplineId=10,BEL,1.1,0
27-Feb-11,Clasica de Almeria,/iframe/CompetitionResults/43038?disciplineId=10,ESP,1.1,0
27-Feb-11,GP di Lugano,/iframe/CompetitionResults/44082?disciplineId=10,SUI,1.1,0
27 Feb-07 Mar 2011,Tour du Cameroun,/iframe/CompetitionResults/44467?disciplineId=10,CMR,2.2,0
27-Feb-11,Les Boucles du Sud Ardèche - Souvenir Francis Delpech,/iframe/CompetitionResults/45074?disciplineId=10,FRA,1.1,0
27-Feb-11,Classica Sarda Sassari - Cagliari,/iframe/CompetitionResults/45315?disciplineId=10,ITA,1.1,0
26-Feb-11,Omloop Het Nieuwsblad Elite,/iframe/CompetitionResults/43579?disciplineId=10,BEL,1.HC,0
26-Feb-11,Ster van Zwolle,/iframe/CompetitionResults/43792?disciplineId=10,NED,1.2,0
26-Feb-11,VZW. Beverbeek Classic,/iframe/CompetitionResults/44258?disciplineId=10,BEL,1.2,0
26-Feb-11,Omloop Het Nieuwsblad-vrouwen elite / Circuit Het Nieuwsblad-Femmes Elite,/iframe/CompetitionResults/44976?disciplineId=10,BEL,1.2,0
24 Feb-28 Feb 2011,Kerman Tour,/iframe/CompetitionResults/43712?disciplineId=10,IRI,2.2,0
22 Feb-26 Feb 2011,Giro di Sardegna,/iframe/CompetitionResults/45108?disciplineId=10,ITA,2.1,0
20 Feb-24 Feb 2011,Vuelta a Andalucia  Ruta Ciclista Del Sol,/iframe/CompetitionResults/42538?disciplineId=10,ESP,2.1,0
20 Feb-27 Feb 2011,Vuelta Independencia Nacional,/iframe/CompetitionResults/43699?disciplineId=10,DOM,2.2,0
19-Feb-11,Trofeo Laigueglia,/iframe/CompetitionResults/42554?disciplineId=10,ITA,1.1,0
19 Feb-20 Feb 2011,Tour Cycliste International du Haut Var,/iframe/CompetitionResults/42561?disciplineId=10,FRA,2.1,0
19 Feb-26 Feb 2011,Tour of South-Africa,/iframe/CompetitionResults/44968?disciplineId=10,RSA,2.2,0
16 Feb-20 Feb 2011,Volta ao Algarve,/iframe/CompetitionResults/43882?disciplineId=10,POR,2.1,0
15 Feb-20 Feb 2011,Tour of Oman,/iframe/CompetitionResults/45444?disciplineId=10,OMA,2.1,0
13-Feb-11,Tour de Mumbai II,/iframe/CompetitionResults/45491?disciplineId=10,IND,1.1,0
11-Feb-11,Tour de Mumbai I,/iframe/CompetitionResults/45415?disciplineId=10,IND,1.1,0
10-Feb-11,Trofeo Magaluf-Palmanova,/iframe/CompetitionResults/44073?disciplineId=10,ESP,1.1,0
09 Feb-13 Feb 2011,Tour Méditerranéen Cycliste Professionnel,/iframe/CompetitionResults/42551?disciplineId=10,FRA,2.1,0
9-Feb-11,Trophée Deià,/iframe/CompetitionResults/44059?disciplineId=10,ESP,1.1,0
8-Feb-11,Trofeo Inca-Inca,/iframe/CompetitionResults/44060?disciplineId=10,ESP,1.1,0
7-Feb-11,Trofeo Cala Millor-Cala Millor,/iframe/CompetitionResults/44071?disciplineId=10,ESP,1.1,0
06 Feb-11 Feb 2011,Tour of Qatar,/iframe/CompetitionResults/44340?disciplineId=10,QAT,2.1,0
5-Feb-11,G.P. Costa degli Etruschi,/iframe/CompetitionResults/44338?disciplineId=10,ITA,1.1,0
02 Feb-06 Feb 2011,Etoile de Bessèges,/iframe/CompetitionResults/42542?disciplineId=10,FRA,2.1,0
02 Feb-04 Feb 2011,Ladies Tour of Qatar,/iframe/CompetitionResults/45233?disciplineId=10,QAT,2.1,0
30-Jan-11,Grand Prix Cycliste la Marseillaise,/iframe/CompetitionResults/42534?disciplineId=10,FRA,1.1,0
28 Jan-30 Jan 2011,Giro della Provincia di Reggio Calabria-Challenge Calabria,/iframe/CompetitionResults/44670?disciplineId=10,ITA,2.1,0
27 Jan-06 Feb 2011,Vuelta ciclista de chile,/iframe/CompetitionResults/43113?disciplineId=10,CHI,2.2,0
26 Jan-29 Jan 2011,Tour of Wellington,/iframe/CompetitionResults/44027?disciplineId=10,NZL,2.2,0
25 Jan-30 Jan 2011,La Tropicale Amissa Bongo (Tabo),/iframe/CompetitionResults/44701?disciplineId=10,GAB,2.1,0
23 Jan-01 Feb 2011,Le Tour de Langkawi,/iframe/CompetitionResults/43720?disciplineId=10,MAS,2.HC,1
18 Jan-23 Jan 2011,Tour Down Under,/iframe/CompetitionResults/45170?disciplineId=10,AUS,2.UWT,1
17 Jan-23 Jan 2011,Tour de San Luis,/iframe/CompetitionResults/44940?disciplineId=10,ARG,2.1,0
12 Jan-23 Jan 2011,Vuelta al Tachira en Bicicleta,/iframe/CompetitionResults/43288?disciplineId=10,VEN,2.2,0
17 Dec-29 Dec 2010,Vuelta Internacional a Costa Rica,/iframe/CompetitionResults/43926?disciplineId=10,CRC,2.2,0
02 Dec-05 Dec 2010,Vuelta Ciclistica Bicentenario del Paraguay,/iframe/CompetitionResults/45497?disciplineId=10,PAR,2.2,0
19 Nov-22 Nov 2010,Vuelta al Ecuador,/iframe/CompetitionResults/43709?disciplineId=10,ECU,2.2,0
17 Nov-25 Nov 2010,Tour of Rwanda,/iframe/CompetitionResults/45347?disciplineId=10,RWA,2.2,0
13 Nov-14 Nov 2010,Tour de Okinawa,/iframe/CompetitionResults/43686?disciplineId=10,JPN,2.2,0
07 Nov-14 Nov 2010,Vuelta a Bolivia,/iframe/CompetitionResults/44098?disciplineId=10,BOL,2.2,0
6-Nov-10,Les challenges de la Marche verte - GP Al Massira,/iframe/CompetitionResults/45499?disciplineId=10,MAR,1.2,0
5-Nov-10,Les challenges de la Marche verte - GP Oued Eddahab,/iframe/CompetitionResults/45504?disciplineId=10,MAR,1.2,0
04 Nov-07 Nov 2010,Tour of Alanya,/iframe/CompetitionResults/45388?disciplineId=10,TUR,2.2,0
4-Nov-10,Les challenges de la Marche verte - GP Sakia El Hamra,/iframe/CompetitionResults/45508?disciplineId=10,MAR,1.2,0
28 Oct-31 Oct 2010,Tour of Marmara,/iframe/CompetitionResults/45374?disciplineId=10,TUR,2.2,0
24-Oct-10,Japan Cup Cycle Road Race,/iframe/CompetitionResults/43032?disciplineId=10,JPN,1.HC,0
24 Oct-03 Nov 2010,Tour d'Indonesia,/iframe/CompetitionResults/44483?disciplineId=10,INA,2.2,0
23-Oct-10,Tour of Taihu,/iframe/CompetitionResults/45521?disciplineId=10,CHN,1.2,0
22 Oct-31 Oct 2010,Tour du Faso,/iframe/CompetitionResults/43705?disciplineId=10,BUR,2.2,0
22 Oct-24 Oct 2010,Tour de Seoul,/iframe/CompetitionResults/45429?disciplineId=10,KOR,2.2,0
20 Oct-24 Oct 2010,Tour of Mazandaran,/iframe/CompetitionResults/43717?disciplineId=10,IRI,2.1,0
20 Oct-31 Oct 2010,Vuelta a Guatemala,/iframe/CompetitionResults/44792?disciplineId=10,GUA,2.2,0
17-Oct-10,Chrono des Nations,/iframe/CompetitionResults/43055?disciplineId=10,FRA,1.1,0
17-Oct-10,Chrono des Nations,/iframe/CompetitionResults/44566?disciplineId=10,FRA,1.1,0
17-Oct-10,Chrono des Nations,/iframe/CompetitionResults/44583?disciplineId=10,FRA,1.1,0
17-Oct-10,Chrono des Nations,/iframe/CompetitionResults/44823?disciplineId=10,FRA,1.1,0
16-Oct-10,Giro di Lombardia,/iframe/CompetitionResults/42939?disciplineId=10,ITA,1.CH,0
16 Oct-24 Oct 2010,Tour do Brasil Volta Ciclística de São Paulo-Internacional,/iframe/CompetitionResults/45516?disciplineId=10,BRA,2.2,0
11 Oct-19 Oct 2010,Tour of Hainan,/iframe/CompetitionResults/44288?disciplineId=10,CHN,2.HC,1
14-Oct-12,Tour de Vendée,/iframe/CompetitionResults/43465?disciplineId=10,FRA,1.HC,0
9-Oct-12,Nationale Sluitingprijs - Putte - Kapellen,/iframe/CompetitionResults/43940?disciplineId=10,BEL,1.1,0
09 Oct-13 Oct 2012,Tour of Beijing,/iframe/CompetitionResults/45585?disciplineId=10,CHN,2.UWT,1
7-Oct-12,Gran Premio Bruno Beghelli,/iframe/CompetitionResults/42844?disciplineId=10,ITA,1.1,0
7-Oct-12,Paris - Tours,/iframe/CompetitionResults/42997?disciplineId=10,FRA,1.HC,0
7-Oct-12,Paris-Tours Espoirs,/iframe/CompetitionResults/43679?disciplineId=10,FRA,1.2U,1
7-Oct-12,Tobago Cycling Classic,/iframe/CompetitionResults/45595?disciplineId=10,TTO,1.2,0
6-Oct-12,Giro dell'Emilia,/iframe/CompetitionResults/42898?disciplineId=10,ITA,1.HC,0
6-Oct-12,Piccolo Giro di Lombardia,/iframe/CompetitionResults/43673?disciplineId=10,ITA,1.2,0
4-Oct-12,Paris-Bourges,/iframe/CompetitionResults/42863?disciplineId=10,FRA,1.1,0
4-Oct-12,Gran Premio Città di Peccioli - Coppa Sabatini,/iframe/CompetitionResults/42903?disciplineId=10,ITA,1.1,0
3-Oct-12,Sparkassen Münsterland Giro,/iframe/CompetitionResults/44659?disciplineId=10,GER,1.1,0
2-Oct-12,Binche-Tournai-Binche/Mémorial Frank Vandenbroucke,/iframe/CompetitionResults/43026?disciplineId=10,BEL,1.1,0
30-Sep-12,Duo Normand,/iframe/CompetitionResults/43667?disciplineId=10,FRA,1.1,0
29-Sep-12,Il Lombardia,/iframe/CompetitionResults/42916?disciplineId=10,ITA,1.UWT,1
28 Sep-02 Oct 2012,Tour of Mazandaran,/iframe/CompetitionResults/43715?disciplineId=10,IRI,2.1,0
27-Sep-12,Giro del Piemonte,/iframe/CompetitionResults/42909?disciplineId=10,ITA,1.HC,0
26-Sep-12,Milano-Torino,/iframe/CompetitionResults/42574?disciplineId=10,ITA,1.HC,0
26 Sep-30 Sep 2012,Brunei Butra Heidelberg Cement Tour,/iframe/CompetitionResults/45489?disciplineId=10,BRU,2.2,0
25-Sep-12,Ruota d'Oro - GP Festa del Perdono,/iframe/CompetitionResults/43658?disciplineId=10,ITA,1.2,0
23-Sep-12,Gooikse Pijl,/iframe/CompetitionResults/45637?disciplineId=10,BEL,1.2,0
22 Sep-23 Sep 2012,Tour du Gévaudan Languedoc-Roussillon,/iframe/CompetitionResults/45022?disciplineId=10,FRA,2.2,0
22-Sep-12,De Kustpijl,/iframe/CompetitionResults/45806?disciplineId=10,BEL,1.2,0
21-Sep-12,Tour of Vojvodina I part,/iframe/CompetitionResults/44668?disciplineId=10,SRB,1.2,0
19-Sep-12,Omloop van het Houtland Lichtervelde,/iframe/CompetitionResults/44118?disciplineId=10,BEL,1.1,0
16-Sep-12,GP Industria & Commercio di Prato,/iframe/CompetitionResults/42680?disciplineId=10,ITA,1.1,0
16-Sep-12,Grand Prix d'Isbergues - Pas de Calais,/iframe/CompetitionResults/42883?disciplineId=10,FRA,1.1,0
16-Sep-12,Trofeo G. Bianchin,/iframe/CompetitionResults/43654?disciplineId=10,ITA,1.2,0
16-Sep-12,Tour Bohemia,/iframe/CompetitionResults/44929?disciplineId=10,CZE,1.2,0
15-Sep-12,GP Impanis - Van Petegem,/iframe/CompetitionResults/42977?disciplineId=10,BEL,1.1,0
15 Sep-17 Sep 2012,Tour de Hokkaido,/iframe/CompetitionResults/43801?disciplineId=10,JPN,2.2,0
15-Sep-12,The Bucks County Classic,/iframe/CompetitionResults/44322?disciplineId=10,USA,1.2,0
15 Sep-16 Sep 2012,Keizer der Juniores,/iframe/CompetitionResults/44395?disciplineId=10,BEL,2.1,0
15-Sep-12,Memorial Marco Pantani,/iframe/CompetitionResults/44691?disciplineId=10,ITA,1.1,0
14-Sep-12,Grand Prix de la Somme « Conseil Général 80»,/iframe/CompetitionResults/43625?disciplineId=10,FRA,1.1,0
14-Sep-12,Kampioenschap van Vlaanderen,/iframe/CompetitionResults/43960?disciplineId=10,BEL,1.1,0
12-Sep-12,Grand Prix de Wallonie,/iframe/CompetitionResults/42715?disciplineId=10,BEL,1.1,0
9-Sep-12,GP de Fourmies / La Voix du Nord,/iframe/CompetitionResults/42876?disciplineId=10,FRA,1.HC,0
09 Sep-16 Sep 2012,Tour of  Britain,/iframe/CompetitionResults/42957?disciplineId=10,GBR,2.1,0
9-Sep-12,Grand Prix Cycliste de Montréal,/iframe/CompetitionResults/45420?disciplineId=10,CAN,1.UWT,1
8-Sep-12,Parijs-Brusssel - Paris-Bruxelles,/iframe/CompetitionResults/42887?disciplineId=10,BEL,1.HC,0
7-Sep-12,Grand Prix Cycliste de Québec,/iframe/CompetitionResults/45425?disciplineId=10,CAN,1.UWT,1
06 Sep-09 Sep 2012,Rothaus Regio-Tour International,/iframe/CompetitionResults/43248?disciplineId=10,GER,2.1,0
06 Sep-09 Sep 2012,Giro di Basilicata,/iframe/CompetitionResults/43822?disciplineId=10,ITA,2.1,0
06 Sep-09 Sep 2012,Okolo Jiznich Cech,/iframe/CompetitionResults/45640?disciplineId=10,CZE,2.2,0
5-Sep-12,Memorial Rik Van Steenbergen,/iframe/CompetitionResults/43003?disciplineId=10,BEL,1.1,0
04 Sep-09 Sep 2012,BrainWash Ladies Tour,/iframe/CompetitionResults/43968?disciplineId=10,NED,2.1,0
03 Sep-08 Sep 2012,Tour Cycliste Féminin International de l'Ardèche,/iframe/CompetitionResults/44708?disciplineId=10,FRA,2.2,0
03 Sep-07 Sep 2012,Giro di Padania,/iframe/CompetitionResults/45601?disciplineId=10,ITA,2.1,0
2-Sep-12,Grote Prijs Jef Scherens - Rondom Leuven,/iframe/CompetitionResults/43011?disciplineId=10,BEL,1.1,0
2-Sep-12,Tour du Doubs - Conseil Général,/iframe/CompetitionResults/43955?disciplineId=10,FRA,1.1,0
2-Sep-12,Kernen Omloop Echt-Susteren,/iframe/CompetitionResults/45323?disciplineId=10,NED,1.2,0
31 Aug-02 Sep 2012,Grand Prix Rüebliland,/iframe/CompetitionResults/43396?disciplineId=10,SUI,2.1,0
31 Aug-01 Sep 2012,World Ports Classic,/iframe/CompetitionResults/45649?disciplineId=10,NED,2.1,0
30 Aug-02 Sep 2012,Giro Internazionale della Lunigiana,/iframe/CompetitionResults/43370?disciplineId=10,ITA,2.1,0
29 Aug-02 Sep 2012,Premondiale Giro Toscana Int. Femminile - Memorial Michela Fanini,/iframe/CompetitionResults/43724?disciplineId=10,ITA,2.1,0
29 Aug-02 Sep 2012,Tour do Rio,/iframe/CompetitionResults/44167?disciplineId=10,BRA,2.2,0
29 Aug-01 Sep 2012,Tour of East Java,/iframe/CompetitionResults/44477?disciplineId=10,INA,2.2,0
26 Aug-01 Sep 2012,Tour de l'Avenir,/iframe/CompetitionResults/43277?disciplineId=10,FRA,2.Ncup,0
26-Aug-12,Omloop der Vlaamse Gewesten,/iframe/CompetitionResults/43601?disciplineId=10,BEL,1.1,0
26-Aug-12,Schaal Sels,/iframe/CompetitionResults/43837?disciplineId=10,BEL,1.1,0
26-Aug-12,Trofeo Emilio Paganessi,/iframe/CompetitionResults/43849?disciplineId=10,ITA,1.1,0
26-Aug-12,GP Ouest France - Plouay,/iframe/CompetitionResults/44442?disciplineId=10,FRA,1.UWT,1
26-Aug-12,Ljubljana - Zagreb,/iframe/CompetitionResults/44799?disciplineId=10,SLO,1.2,0
26-Aug-12,Ronde van Midden-Nederland,/iframe/CompetitionResults/45318?disciplineId=10,NED,1.2,0
25-Aug-12,Omloop Mandel - Leie - Schelde,/iframe/CompetitionResults/42735?disciplineId=10,BEL,1.1,0
25-Aug-12,GP de Plouay-Bretagne,/iframe/CompetitionResults/42816?disciplineId=10,FRA,CDM,0
25-Aug-12,Giro del Veneto - Coppa Placci,/iframe/CompetitionResults/43128?disciplineId=10,ITA,1.1,0
25-Aug-12,Trofeo comune di Vertova Memorial Pietro Merelli,/iframe/CompetitionResults/43855?disciplineId=10,ITA,1.1,0
25 Aug-27 Aug 2012,Lotto-Decca Tour,/iframe/CompetitionResults/45653?disciplineId=10,BEL,2.2,0
23-Aug-12,GP Industria  Commercio  Artigianato  Carnaghese,/iframe/CompetitionResults/43547?disciplineId=10,ITA,1.1,0
22-Aug-12,Druivenkoers - Overijse,/iframe/CompetitionResults/42967?disciplineId=10,BEL,1.1,0
22 Aug-26 Aug 2012,Post Danmark Rundt - Tour of Denmark,/iframe/CompetitionResults/43230?disciplineId=10,DEN,2.HC,1
21 Aug-24 Aug 2012,"Tour du Poitou Charentes, Charente, Charente Maritime, deux sèvres, Vienne",/iframe/CompetitionResults/43253?disciplineId=10,FRA,2.1,0
21-Aug-12,Grand Prix des Marbriers,/iframe/CompetitionResults/43613?disciplineId=10,FRA,1.2,0
21-Aug-12,GP Stad Zottegem,/iframe/CompetitionResults/43995?disciplineId=10,BEL,1.1,0
20 Aug-26 Aug 2012,USA Pro Cycling Challenge,/iframe/CompetitionResults/45513?disciplineId=10,USA,2.HC,1
19-Aug-12,Vattenfall Cyclassics,/iframe/CompetitionResults/43619?disciplineId=10,GER,1.UWT,1
19-Aug-12,Remouchamps - Ferrières - Remouchamps,/iframe/CompetitionResults/43645?disciplineId=10,BEL,1.1,0
19-Aug-12,Châteauroux Classic de l'Indre Trophée Fenioux,/iframe/CompetitionResults/44425?disciplineId=10,FRA,1.1,0
19-Aug-12,Open de Suède Vargarda,/iframe/CompetitionResults/44713?disciplineId=10,SWE,CDM,0
18 Aug-09 Sep 2012,Vuelta a España,/iframe/CompetitionResults/42670?disciplineId=10,ESP,2.UWT,1
18-Aug-12,Tre Valli Varesine,/iframe/CompetitionResults/42830?disciplineId=10,ITA,1.HC,0
18 Aug-22 Aug 2012,Trophée d'Or Féminin,/iframe/CompetitionResults/43930?disciplineId=10,FRA,2.2,0
18-Aug-12,Puchar Ministra Obrony Narodowej,/iframe/CompetitionResults/44409?disciplineId=10,POL,1.2,0
18-Aug-12,Grand Prix Kralovehradeckeho kraje,/iframe/CompetitionResults/45656?disciplineId=10,CZE,1.2,0
17-Aug-12,Coppa Agostoni - giro della Brianza,/iframe/CompetitionResults/42825?disciplineId=10,ITA,1.1,0
17-Aug-12,Dutch Food Valley Classic,/iframe/CompetitionResults/42991?disciplineId=10,NED,1.1,0
17-Aug-12,Open de Suède Vargarda TTT,/iframe/CompetitionResults/45032?disciplineId=10,SWE,CDM,0
16-Aug-12,GP Banca di Legnano - Coppa Bernocchi,/iframe/CompetitionResults/42849?disciplineId=10,ITA,1.1,0
16-Aug-12,GP Capodarco - Comunità di Capodarco,/iframe/CompetitionResults/43756?disciplineId=10,ITA,1.2,0
15 Aug-26 Aug 2012,Volta a Portugal em Bicicleta,/iframe/CompetitionResults/43018?disciplineId=10,POR,2.1,0
14-Aug-12,Clasica Ciclista San Sebastian,/iframe/CompetitionResults/42840?disciplineId=10,ESP,1.UWT,1
14 Aug-17 Aug 2012,Tour du Limousin,/iframe/CompetitionResults/42964?disciplineId=10,FRA,2.HC,1
12-Aug-12,Puchar Uzdrowisk Karpackich,/iframe/CompetitionResults/44280?disciplineId=10,POL,1.2,0
12-Aug-12,Gran Premio Sportivi di Poggiana-Trofeo Bonin Costruzioni,/iframe/CompetitionResults/45463?disciplineId=10,ITA,1.2U,1
11-Aug-12,G.P. Camaiore,/iframe/CompetitionResults/42791?disciplineId=10,ITA,1.1,0
