world utility per tick,agent count,min curiosity,max curiosity,mean curiosity,Skewness curiosity,standard deviation curiosity,min iUtilityPerTick,max iUtilityPerTick,mean iUtilityPerTick,Skewness iUtilityPerTick,standard deviation iUtilityPerTick,min money,max money,mean money,Skewness money,standard deviation money,mean isEducated,Skewness isEducated,standard deviation isEducated,job count,min wages,max wages,mean wages,Skewness wages,standard deviation wages,min educatedBonusWages,max educatedBonusWages,mean educatedBonusWages,Skewness educatedBonusWages,standard deviation educatedBonusWages,min reputation,max reputation,mean reputation,Skewness reputation,standard deviation reputation,school count,min school price,max school price,mean school price,Skewness school price,standard deviation school price,min school reputation,max school reputation,mean school reputation,Skewness school reputation,standard deviation school reputation,min school suffering,max school suffering,mean school suffering,Skewness school suffering,standard deviation school suffering,terminal tick count,ticks per second,batch size,forced model termination,blind mode
136.4250775,28,0.015757184,0.986751637,0.502552286,-0.109734759,0.316062445,3.139981779,5.957928328,4.872324197,-0.696590251,0.790744025,-1.785992513,2.045331099,-0.201013685,0.300672801,1.06577488,0.428571429,0.305278997,0.494871659,1303,0.000594917,3.123983307,0.817543602,0.852369535,0.609397521,-3.15720741,3.306296253,0.050218454,-0.00977593,0.981786109,-3.294888279,3.576626794,0.048214459,0.167189933,1.023218327,123,0.004921994,3.102924337,0.732073699,1.428351334,0.603962872,-1.905339426,3.612587142,0.079936499,0.340510052,0.98066254,-2.720347795,2.267736279,-0.009957489,-0.248210997,-0.248210997,1003,13,4,FALSE,TRUE
143.3537477,30,0.016251507,0.929389392,0.523567459,-0.464347043,0.276445427,2.168180232,6.735503154,4.778458256,0.501502324,1.020810591,-2.194453877,1.456988538,0.048168614,-0.927343823,0.836464531,0.533333333,-0.14076918,0.498887652,1322,0.003943067,4.062672231,0.780752531,1.07033316,0.614402108,-3.474024301,3.508556969,0.011177041,-0.01073008,0.967577849,-3.883603442,4.238291371,-0.007747263,0.074924131,1.028516244,119,0.02909419,2.273492115,0.821457163,0.765734605,0.549986533,-2.214041156,2.883962856,0.117950372,0.214665572,0.971931996,-2.622468371,2.030162447,-0.012904412,-0.141017466,-0.141017466,1003,13,4,FALSE,TRUE
156.3857948,34,0.025713973,0.970280329,0.464014998,0.396510317,0.278009362,3.461939075,5.974777357,4.599582201,0.627557207,0.745117651,-1.884181274,2.528596238,-0.423130026,0.844906899,0.922488354,0.352941176,0.644235254,0.477884612,1231,0.000236602,3.674443253,0.810143784,1.027869217,0.614726444,-2.974256744,3.643408616,-0.027334382,-0.06594705,0.969215586,-3.478506438,3.357385572,-0.041361033,-0.085810081,0.986238945,108,0.001048527,2.576940431,0.704108466,1.024734654,0.493807071,-2.41933663,2.45093221,0.084084413,-0.136148927,1.009873602,-2.424971257,2.069517625,0.048399462,-0.246600707,-0.246600707,1004,11,4,FALSE,TRUE
175.856047,37,0.006737647,0.96146484,0.459720085,-0.014526468,0.295143932,2.214740634,8.272660033,4.752866136,0.499077759,1.358660401,-2.20406512,2.521037668,-0.084100726,0.207106169,0.980326972,0.432432432,0.284435916,0.495413589,1317,0.001918785,3.334193626,0.795522038,0.888663082,0.594562887,-3.601400603,4.356706516,0.067702375,0.123124199,0.980693641,-3.380050781,3.263263392,-0.001175606,-0.077993781,0.994918119,140,0.005113071,2.468095286,0.853312946,0.791675182,0.641026663,-3.044718054,2.219909696,0.03688107,-0.194783917,1.024132176,-1.935499576,2.574280969,0.001011576,0.247289711,0.247289711,1002,10,4,FALSE,TRUE
10.25888407,2,0.610797947,0.841505776,0.726151862,0,0.115353914,5.129442033,5.129442033,5.129442033,0,0,-1.709338339,-0.911141992,-1.310240165,0,0.399098174,0,0,0,1329,0.003755834,4.306198876,0.813571511,1.08287821,0.611777153,-3.830185026,3.605191603,0.021842819,-0.090398033,0.994863817,-3.128625707,4.252582613,-0.017087613,0.077311774,1.003371205,123,0.010312247,3.006489606,0.858563157,0.926625187,0.629159867,-2.255337886,2.631200796,0.075549094,-0.103136115,1.073727101,-3.092887795,3.02579345,0.174903807,-0.157278797,-0.157278797,1006,12,15,FALSE,TRUE
15.98880636,3,0.334627739,0.845428119,0.650848244,-1.597222209,0.225575692,3.868764982,6.545993669,5.329602119,-0.78525606,1.106557302,-0.548286861,1.702530186,0.397287986,1.254546837,0.95343757,0.666666667,-1.732050808,0.471404521,1357,0.00023288,3.513640977,0.803505116,1.053414252,0.617923724,-3.125080986,3.183614704,0.015501054,0.099676554,1.008847231,-2.934724394,3.290465746,-0.03033432,0.115933995,0.973925441,160,0.010364306,2.713485114,0.806298086,1.069605324,0.612650713,-2.994217198,2.06652452,-0.15692555,-0.059240499,0.918251883,-3.153432095,2.513083013,-0.063947877,0.037166904,0.037166904,1004,11,15,FALSE,TRUE
19.36663038,4,0.001035647,0.978044945,0.582543882,-0.983543598,0.374586397,2.376299391,5.861683618,4.841657595,-1.83889265,1.443934086,-2.0998296,1.232687072,-0.007571439,-0.930099957,1.370108547,0.5,0,0.5,1303,0.001283336,3.665779377,0.805528877,1.102549073,0.62835768,-3.303669529,3.166855625,-0.01106864,-0.093370583,1.007906307,-3.47878642,3.881474401,0.016559032,0.037238775,1.020840785,132,0.01038606,2.915099155,0.729696514,1.162179228,0.57409817,-2.203864878,3.354826544,-0.009731753,0.122690507,1.11405243,-2.291936094,2.651305515,0.023294572,-0.159584319,-0.159584319,1004,10,15,FALSE,TRUE
77.52071205,16,0.083475798,0.951150885,0.454937139,0.390929386,0.291047727,3.916201607,5.708954835,4.845044503,0.121684458,0.531569764,-1.360585203,2.191501867,0.069846165,0.549934242,0.999797687,0.5,1.07E-16,0.5,1347,0.000529705,3.671342993,0.789625764,1.050688302,0.619012652,-2.941571979,4.033292303,0.068301046,-0.006689265,1.009048627,-3.219910408,3.453124495,-0.013007278,0.002628035,0.994534919,126,0.001557276,2.850899513,0.824896147,0.976564507,0.612474511,-2.087060679,2.499411735,-0.00201634,0.122450612,0.877293974,-2.296374076,2.875420809,-0.022949428,0.10192702,0.10192702,1003,5,15,FALSE,TRUE
97.48582418,19,0.077825303,0.971356902,0.540504134,-0.059696712,0.288691913,2.79004946,5.828486959,5.130832852,-1.78549465,0.809453704,-2.192637611,1.805717577,0.110211894,-0.224264619,0.870727611,0.684210526,-0.862213603,0.464829519,1360,0.000831703,3.662520563,0.785561593,1.043970856,0.608510245,-3.095658382,4.167123031,0.026057722,0.103315885,1.00082616,-3.3960537,3.14925542,-0.025881337,-0.033178173,0.980236731,102,0.001439205,2.681534908,0.895079828,0.740678526,0.632027008,-2.719967413,2.859858973,-0.018435522,0.146420109,1.049730001,-2.973474478,2.151478424,-0.112605945,-0.22100947,-0.22100947,1001,5,15,FALSE,TRUE
98.8072983,19,0.08973117,0.916235986,0.548430884,-0.410141607,0.224146603,4.047184701,6.331025288,5.200384121,0.121659043,0.681152117,-1.831447213,1.402713441,-0.170006484,-0.412293001,0.976580107,0.526315789,-0.114668169,0.499306999,1318,9.59E-05,3.74734434,0.802604106,0.959983385,0.600876583,-3.363209632,3.348358563,0.032819327,0.011726469,1.035825138,-3.012130618,3.55483051,0.011740049,0.129629669,0.999708666,126,0.008789736,2.473406272,0.82981634,0.814071253,0.562581735,-2.513818484,2.121790363,0.016687022,-0.211390562,1.023611163,-2.366453555,3.141513075,-0.027730585,0.20627034,0.20627034,1003,5,15,FALSE,TRUE
105.4513559,21,0.13254775,0.872291969,0.437986851,0.206434458,0.22587872,3.771128839,6.581146467,5.021493137,0.729875085,0.689010291,-1.941366952,2.112202481,0.095639273,0.103779961,0.933598366,0.523809524,-0.102842992,0.499432785,1373,0.000902143,3.520834813,0.819209738,1.023764625,0.611361582,-3.833311896,3.526722309,-0.012703191,0.028384839,1.0087329,-3.093907626,3.221524637,0.018897802,0.04173584,0.949808753,132,0.025057962,3.229000491,0.888441787,0.902624379,0.715172129,-2.248099657,2.597940726,0.015648427,0.059468293,0.925243495,-2.468277569,2.163246795,-0.029414703,-0.080420188,-0.080420188,1002,4,15,FALSE,TRUE
113.8735039,22,0.023557023,0.965499408,0.482179146,0.196124577,0.300403919,2.562282556,6.855455746,5.176068361,-0.338662269,0.992851774,-2.415186645,1.36733927,-0.21773047,-0.881567415,0.998308504,0.545454545,-0.196214169,0.497929598,1205,0.000119829,3.709222092,0.800748107,1.048893943,0.603458451,-2.633642305,3.175952848,-0.006718066,0.016171993,0.998749755,-2.920681592,3.193071473,-0.000515079,0.074381016,1.024233051,133,0.023317948,2.425013814,0.813124905,0.589528944,0.573962942,-2.364198952,3.750603836,0.045830263,0.246442478,1.036450959,-2.508297978,2.950366444,0.15201553,0.166702337,0.166702337,1003,4,15,FALSE,TRUE
93.91498863,24,0.000422137,0.933901088,0.467884517,-0.121286032,0.278129064,0.999697692,5.156187241,3.913124526,-1.851980431,0.796595265,-2.446632747,1.482358301,-0.418918224,0.125861886,1.042462026,0.291666667,0.978979003,0.454529671,1331,0.001135286,3.476568181,0.78046552,0.939138382,0.591877912,-3.279711139,3.722704503,0.022162267,0.039997377,0.983476077,-2.904957664,3.000939259,0.039456693,0.148654992,0.954087126,121,0.00680399,2.597258582,0.739702241,1.134233468,0.596871098,-3.225401764,2.627770532,-0.126941547,0.093385949,0.96703742,-2.355066703,4.010023773,0.059268866,0.485843541,0.485843541,1003,4,15,FALSE,TRUE
142.8002401,26,0.00807199,0.907466075,0.455312547,-0.092720144,0.264259672,2.755553797,7.717102938,5.492316927,0.390809456,1.412167259,-1.422077396,1.502273387,-0.038986645,-0.06122018,0.801218914,0.615384615,-0.503891109,0.486504255,1317,0.00194178,3.289222441,0.801043109,0.941816177,0.601375376,-3.602263511,3.438682145,-0.01276693,-0.004496942,1.005359092,-3.244531433,3.745101326,0.04760821,0.066099689,1.0016901,128,0.000605879,2.687822403,0.750284061,1.164127373,0.623638951,-3.730420211,2.54272879,-0.08478777,-0.248754375,1.155478652,-2.276645882,2.40579933,0.02534019,0.185336307,0.185336307,1003,4,15,FALSE,TRUE
126.0469948,28,0.018729245,0.958023628,0.5275165,-0.219007772,0.29512223,3.416743833,5.701417891,4.501678384,-0.379633318,0.583346704,-1.289986709,3.17481905,0.017252372,1.480695519,0.936384292,0.357142857,0.630581586,0.479157424,1316,0.001329603,3.704688184,0.780198465,1.086221148,0.604835408,-2.917388619,2.866262695,-0.00987696,-0.069580079,1.002906221,-3.153287239,2.796135801,-0.020650764,-0.111086558,0.973378996,135,0.023564477,2.698820724,0.734240528,1.198673119,0.587548035,-2.337319869,2.476969243,0.013392749,0.133190504,0.941556437,-3.243357,2.134806169,-0.044794593,-0.195536454,-0.195536454,1003,4,15,FALSE,TRUE
140.7712276,28,0.068609048,0.980290321,0.48330866,0.574653938,0.257471566,3.449953544,6.585068195,5.027543841,0.222577122,1.051298055,-2.154613021,2.376583254,-0.099670355,0.121289316,1.012489295,0.428571429,0.305278997,0.494871659,1292,0.001247481,3.120265637,0.811017211,0.913528742,0.604314441,-3.362093772,3.293836573,-0.0582776,0.103202311,0.987542087,-3.524886721,3.521574448,0.015171563,-0.112848931,0.961106159,133,0.001080988,2.60631312,0.77447133,1.080363994,0.573280601,-2.542368144,2.864436207,0.03889313,0.162665212,0.962779054,-2.363942607,2.224370202,-0.025342484,0.050388068,0.050388068,1001,4,15,FALSE,TRUE
144.8236191,30,0.018129164,0.981684342,0.478838168,-0.194942989,0.259651355,1.714782805,6.71442554,4.827453969,0.069682844,1.216926442,-1.333695058,1.412435766,0.03583479,-0.080590826,0.735018552,0.533333333,-0.14076918,0.498887652,1282,8.37E-05,3.841826243,0.795651156,0.884195087,0.590957369,-3.841910043,2.971741389,-0.037175824,-0.112661171,0.976323121,-2.964823393,2.879157328,0.035598514,0.021894337,0.980797959,132,0.002992888,3.029576597,0.730777571,1.258879298,0.568770866,-2.45013116,2.537447467,-0.001412676,0.147283165,1.013512541,-2.46647168,3.284159968,0.074453206,0.091263385,0.091263385,1001,4,15,FALSE,TRUE
162.5869362,35,0.00182227,0.920753852,0.416951282,0.26462767,0.269357332,0.018554713,6.050641761,4.645341033,-2.109035027,1.095269196,-2.478896105,2.516479359,0.041788995,0.00524237,1.016489959,0.4,0.426760206,0.489897949,1341,0.002807868,3.427078968,0.798354198,1.009067301,0.616011805,-3.38011925,3.221328479,0.008873739,-0.056826889,1.008205744,-3.598161287,3.791615431,-0.051026133,-0.084682279,0.976293602,147,0.001589225,2.775507948,0.8109111,0.950335163,0.669785653,-2.353129765,1.989725347,0.040929268,-0.117369123,0.982704364,-2.702278111,2.505369244,-0.093560104,0.120232227,0.120232227,1001,4,15,FALSE,TRUE
184.4097505,36,0.045212998,0.982839784,0.557817189,-0.31295512,0.27399362,3.388084315,6.281887462,5.122493069,-0.051512948,0.934694701,-2.867722939,1.507290274,-0.023626424,-0.915027532,0.950499504,0.555555556,-0.233448645,0.496903995,1277,0.000266479,3.843827332,0.832770358,0.950434659,0.614566904,-3.496336933,3.545511279,0.009077495,0.077229639,1.017717144,-3.10689401,3.501534615,0.018159538,0.028588111,1.017538865,136,0.01586685,3.311859302,0.776938711,1.273711998,0.592165144,-2.395139697,3.212670004,-0.006346675,0.2365855,0.976070769,-2.780351236,2.312138147,-0.062381344,-0.079649763,-0.079649763,1002,4,15,FALSE,TRUE
71.32631039,14,0.033622095,0.720782187,0.471586762,-1.07342314,0.232274304,2.615241178,6.674700026,5.094736456,-0.470201286,1.270276614,-2.389605556,2.117703339,-0.255721498,0.235424529,0.955510188,0.357142857,0.670360139,0.479157424,1303,0.000826349,3.66258294,0.79031225,1.058274236,0.59373886,-3.502672017,3.178363659,-0.017640512,-0.017778292,0.9827047,-3.064977712,3.400900652,0.008055706,-0.082409759,0.999848542,121,0.003524233,2.856224809,0.789323403,0.823855747,0.610543981,-2.339138882,2.412979843,-0.029289893,-0.07203835,0.940004778,-2.264692519,3.164091383,0.067498175,0.319567762,0.319567762,1010,28,1,FALSE,TRUE
64.37420084,12,0.03347359,0.991058258,0.65299231,-1.201047308,0.2473142,3.896625856,6.125632159,5.364516737,-0.599008003,0.704176641,-2.368807128,1.519564566,-0.376746324,-0.32080213,1.03232054,0.416666667,0.388403325,0.493006649,1320,0.000724095,3.734294887,0.78644321,1.162319351,0.61966116,-3.017244235,3.743016369,-0.037668131,0.028533158,1.026611241,-3.304145542,3.294931543,0.037704442,0.028391682,1.011169762,128,0.011921001,3.605670731,0.958578182,1.072393221,0.689491432,-2.835854407,2.366130072,0.025310941,-0.081805852,1.050788302,-2.830509067,3.428348113,-0.138681004,0.308887477,0.308887477,1006,16,5,FALSE,TRUE
59.70443552,13,0.02456365,0.986657148,0.532169923,-0.052964397,0.261537191,2.635350473,6.396477201,4.592648886,-0.333374161,0.78813011,-1.853027572,1.507337244,-0.308394763,0.237565372,0.83249439,0.153846154,2.178716804,0.360801212,1199,0.000767003,3.217675762,0.790090699,0.967814765,0.593124391,-3.930781228,4.184206704,0.067341851,-0.021734987,1.039467815,-3.256054176,3.186984533,-0.015755296,-0.035236228,1.006525759,128,0.007302555,2.575604767,0.831863575,0.885149861,0.551831992,-3.504210778,3.032771955,-0.066147953,0.028669723,1.134791659,-2.666471524,2.20409263,-0.130860853,-0.14677178,-0.14677178,1008,15,5,FALSE,TRUE
